Index	Seller_Name	Seller_ID	Base_Price	Shipping	CALC_Total_Price	Created_At	Condition	CALC_Has_Shopback	CALC_Has_Cashrewards	Seller_URL	Product_URL	Offer_ID	PID	Country_Code	Shopback_ID	Shopback_Name	Shopback_URL	Shopback_Commission	Shopback_Created_At	Shopback_Updated_At	Shopback_Hostname	Cashrewards_ID	Cashrewards_Name	Cashrewards_Commission_String	Cashrewards_Commission	Cashrewards_Hyphenated_Name	Cashrewards_Logo	Cashrewards_Online	Cashrewards_Instore	Cashrewards_Hostname	Cashrewards_Created_At	Cashrewards_Updated_At
37	Dick Smith AU	156	388.99	0	388.99	$D2025-10-01T10:14:05.777Z	new	False	False	www.dicksmith.com.au	https://www.dicksmith.com.au/da/buy/mobile-world-motorola-moto-g85-5g-dual-sim128gb8gb-67-pb2a0021au-mot-g85-cfg-mot207065/	None	66929271	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
38	eBay - cedge_computers	329555319	417.15	0	417.15	$D2025-10-01T10:14:05.777Z	new	False	False	None	https://www.ebay.com.au/itm/267200954178	None	66929271	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
39	eBay - bq_shop01	1699888842	480.41	0	480.41	$D2025-10-01T10:14:05.777Z	new	False	False	None	https://www.ebay.com.au/itm/186892939326	None	66929271	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
40	eBay - activvalue	1022694986	492.95	0	492.95	$D2025-10-01T10:14:05.777Z	new	False	False	None	https://www.ebay.com.au/itm/267240043690	None	66929271	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
41	Laybyland	594331064	297	0	297.00	$D2025-10-01T10:14:05.777Z	new	False	False	www.laybyland.com.au	https://www.laybyland.com.au/electronics-and-office/phones/mobile-phones/moto-g55-5g-128gb-twilight-purple	None	66929271	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
42	MyLayby	215	297	0	297.00	$D2025-10-01T10:14:05.777Z	new	False	False	mylayby.com	https://mylayby.com/electronics-and-office/phones/mobile-phones/moto-g55-5g-128gb-twilight-purple	None	66929271	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
43	www.i-tech.com.au	175	263	0	263.00	$D2025-10-01T10:14:05.777Z	new	False	False	i-tech.com.au	https://i-tech.com.au/pb5u0017au-motorola-g55-4-128gb-forest-grey-422105.html	None	66929271	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
44	Pop Phones	1304191899	289	0	289.00	$D2025-10-01T10:14:05.777Z	new	False	False	None	https://www.popphones.com.au/shop/moto-g55-5g-6-5-inch-4gb-ram128gb-storage-forest-grey/	None	66929271	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
45	eBay - kickmobiles-ltd	1918886407	753.5	0	753.50	$D2025-10-01T10:14:05.777Z	new	False	False	None	https://www.ebay.com.au/itm/296765855181	None	66929271	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
46	eBay - jw_computers	866234857	408	0	408.00	$D2025-10-01T10:14:05.777Z	new	False	False	None	https://www.ebay.com.au/itm/226682899012	None	66929271	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
47	eBay - mobilesemporium	537164129	453	0	453.00	$D2025-10-01T10:14:05.777Z	new	False	False	None	https://www.ebay.com.au/itm/335829301249	None	66929271	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
48	Flashtrend.com.au	99	328.19	0	328.19	$D2025-10-01T10:14:05.777Z	new	False	False	www.flashtrend.com.au	https://www.flashtrend.com.au/motorola-g55-5g-128gb-forest-grey-au-stock-6.5-ful	None	66929271	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
49	eBay - soundsolutions_worldwide	16519497	653.83	0	653.83	$D2025-10-01T10:14:05.777Z	new	False	False	None	https://www.ebay.com.au/itm/205207919837	None	66929271	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
50	eBay - goclickonstore	1111384139	463.51	0	463.51	$D2025-10-01T10:14:05.777Z	new	False	False	None	https://www.ebay.com.au/itm/156834178564	None	66929271	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
51	eBay - madelectronicsaus	209429856	449	0	449.00	$D2025-10-01T10:14:05.777Z	new	False	False	None	https://www.ebay.com.au/itm/127323918672	None	66929271	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
52	eBay - one.stop.shoppee	289721920	364.51	0	364.51	$D2025-10-01T10:14:05.777Z	new	False	False	None	https://www.ebay.com.au/itm/176464907194	None	66929271	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
53	Tech Power Up	64458415	255.95	0	255.95	$D2025-10-01T10:14:05.777Z	new	False	False	techpowerup.com.au	https://techpowerup.com.au/products/motorola-g55-4-128gb-forest-grey?variant=50973254156577	None	66929271	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
54	eBay - cardanostore	1126623789	328	0	328.00	$D2025-10-01T10:14:05.777Z	new	False	False	None	https://www.ebay.com.au/itm/205417971636	None	66929271	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
55	eBay - oztechhub	478928300	417.05	0	417.05	$D2025-10-01T10:14:05.777Z	new	False	False	None	https://www.ebay.com.au/itm/167332599369	None	66929271	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
56	MyDeal	908	399	0	399.00	$D2025-10-01T10:14:05.777Z	new	True	True	mydeal.com.au	https://www.mydeal.com.au/motorola-g85-5g-smartphone-128gb-grey-15475674	None	66929271	None	7696	MyDeal.com.au	www.shopback.com.au/mydeal	Up to 3.6% Cashback	$D2023-08-01T09:56:13.775Z	$D2023-11-25T10:32:54.782Z	mydeal.com.au	1004953	MyDeal	Up to 4.2% cashback	4.2	mydeal	//cdn.cashrewards.com/mydeal.png?t=637672695131179086	True	False	mydeal.com.au	$D2023-07-30T11:50:50.100Z	$D2023-11-30T03:50:38.698Z
