Index	Seller_Name	Seller_ID	Base_Price	Shipping	CALC_Total_Price	Created_At	Condition	CALC_Has_Shopback	CALC_Has_Cashrewards	Seller_URL	Product_URL	Offer_ID	PID	Country_Code	Shopback_ID	Shopback_Name	Shopback_URL	Shopback_Commission	Shopback_Created_At	Shopback_Updated_At	Shopback_Hostname	Cashrewards_ID	Cashrewards_Name	Cashrewards_Commission_String	Cashrewards_Commission	Cashrewards_Hyphenated_Name	Cashrewards_Logo	Cashrewards_Online	Cashrewards_Instore	Cashrewards_Hostname	Cashrewards_Created_At	Cashrewards_Updated_At
29	eBay - goclickonstore	1111384139	553.07	0	553.07	$D2025-10-01T20:23:53.181Z	new	False	False	None	https://www.ebay.com.au/itm/157187535697	None	83429707	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
30	MyDeal	908	499	0	499.00	$D2025-10-01T20:23:53.181Z	new	True	True	mydeal.com.au	https://www.mydeal.com.au/moto-g75-5g-256gb-grey-with-moto-buds-13799631	None	83429707	None	7696	MyDeal.com.au	www.shopback.com.au/mydeal	Up to 3.6% Cashback	$D2023-08-01T09:56:13.775Z	$D2023-11-25T10:32:54.782Z	mydeal.com.au	1004953	MyDeal	Up to 4.2% cashback	4.2	mydeal	//cdn.cashrewards.com/mydeal.png?t=637672695131179086	True	False	mydeal.com.au	$D2023-07-30T11:50:50.100Z	$D2023-11-30T03:50:38.698Z
31	eBay - madelectronicsaus	209429856	499	0	499.00	$D2025-10-01T20:23:53.181Z	new	False	False	None	https://www.ebay.com.au/itm/116745679638	None	83429707	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
32	Amazon.com.au	60	438	0	438.00	$D2025-10-01T20:23:53.181Z	new	True	True	www.amazon.com.au	https://www.amazon.com.au/dp/B0DKXB12CP	None	83429707	None	8448	Amazon Australia	www.shopback.com.au/amazon-australia	Up to 7% Cashback	$D2023-08-01T09:56:13.775Z	$D2023-11-25T10:32:54.782Z	amazon.com.au	1003434	Amazon Australia	Up to 7% cashback	7	amazon-australia	//cdn.cashrewards.com/amazon-australia.jpg	True	False	amazon.com.au	$D2023-07-30T11:50:50.100Z	$D2023-11-30T03:50:38.698Z
33	LWT	555296346	400.4	0	400.40	$D2025-10-01T20:23:53.181Z	new	False	False	www.lwt.com.au	https://www.lwt.com.au/Product/MOT5690517/PB3Y0024AU/Motorola-G75-5G-256GB-With-Moto-Buds-Charcoal-GreyAU-STOCK68Full-HD120Hz8GB-256GBDual-SIM50MP-16MPWater-Protection5000mAh2Year-Warranty/ws/Business	None	83429707	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
34	Wise Market Australia	33475	417	0	417.00	$D2025-10-01T20:23:53.181Z	new	False	False	wisemarket.com.au	https://wisemarket.com.au/collection/mobiles/motorola/motorola-moto-g75?variant=93416	None	83429707	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
35	Lasoo	6823	499	0	499.00	$D2025-10-01T20:23:53.181Z	new	False	False	www.lasoo.com.au	https://www.lasoo.com.au/products/personal-digital/1716909/motorola-moto-g75-5g-dual-sim-256gb8gb-68-charcoal-grey	None	83429707	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
36	Microless.com	1518684649	330.56	0	330.56	$D2025-10-01T20:23:53.181Z	new	False	False	global.microless.com	https://global.microless.com/product/motorola-g75-5g-mobile-phone-6-78-full-hd-120hz-display-qualcomm-snapdragon-6-gen-3-8gb-ram-256gb-rom-50mp-main-camera-16mp-selfie-camera-android-14-5000mah-battery-succulent-green-g75/	None	83429707	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
37	eBay - gadget.point	1715182043	529	0	529.00	$D2025-10-01T20:23:53.181Z	new	False	False	None	https://www.ebay.com.au/itm/286790679533	None	83429707	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
38	itnest.com.au	283	409	0	409.00	$D2025-10-01T20:23:53.181Z	new	False	False	www.itnest.com.au	https://www.itnest.com.au/hardware/other/motorola-g75-5g-256gb-with-moto-buds-charcoal-grey(pb3y0024au)-pb3y0024au	None	83429707	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
39	eBay - sydneymobiles	1005572669	490.56	0	490.56	$D2025-10-01T20:23:53.181Z	new	False	False	None	https://www.ebay.com.au/itm/395926055872	None	83429707	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
40	eBay - allphones_online	1877234208	467.7	0	467.70	$D2025-10-01T20:23:53.181Z	new	False	False	None	https://www.ebay.com.au/itm/167115114606	None	83429707	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
